order,id,context,recipient,event,kind,text,output,status,bytes,sha256,notes
1,hs_v2_015,HOME,MOM,HUG,question,Who will give the mom in the middle a hug now that they're sad at the kid's home?,assets/home_school/generated/audio/hs_v2_015_home_mom_hug_question.mp3,NOT_RECORDED,,,
2,hs_v2_016,HOME,MOM,FOOD,event,"Oh no! At the kid's home, the mom in the middle is hungry now!",assets/home_school/generated/audio/hs_v2_016_home_mom_food_event.mp3,NOT_RECORDED,,,
3,hs_v2_017,HOME,MOM,FOOD,question,Who will give the mom in the middle strawberries now that they're hungry at the kid's home?,assets/home_school/generated/audio/hs_v2_017_home_mom_food_question.mp3,NOT_RECORDED,,,
4,hs_v2_018,HOME,MOM,HELP,event,"Oh no! At the kid's home, the mom in the middle dropped a heavy box!",assets/home_school/generated/audio/hs_v2_018_home_mom_help_event.mp3,NOT_RECORDED,,,
5,hs_v2_019,HOME,MOM,HELP,question,Who will help the mom in the middle pick up the heavy box at the kid's home?,assets/home_school/generated/audio/hs_v2_019_home_mom_help_question.mp3,NOT_RECORDED,,,
6,hs_v2_020,HOME,DAD,HUG,question,Who will give the dad in the middle a hug now that they're sad at the kid's home?,assets/home_school/generated/audio/hs_v2_020_home_dad_hug_question.mp3,NOT_RECORDED,,,
7,hs_v2_021,HOME,DAD,FOOD,event,"Oh no! At the kid's home, the dad in the middle is hungry now!",assets/home_school/generated/audio/hs_v2_021_home_dad_food_event.mp3,NOT_RECORDED,,,
8,hs_v2_022,HOME,DAD,FOOD,question,Who will give the dad in the middle strawberries now that they're hungry at the kid's home?,assets/home_school/generated/audio/hs_v2_022_home_dad_food_question.mp3,NOT_RECORDED,,,
9,hs_v2_023,HOME,DAD,HELP,event,"Oh no! At the kid's home, the dad in the middle dropped a heavy box!",assets/home_school/generated/audio/hs_v2_023_home_dad_help_event.mp3,NOT_RECORDED,,,
10,hs_v2_024,HOME,DAD,HELP,question,Who will help the dad in the middle pick up the heavy box at the kid's home?,assets/home_school/generated/audio/hs_v2_024_home_dad_help_question.mp3,NOT_RECORDED,,,
11,hs_v2_025,HOME,TEACHER,HUG,question,Who will give the teacher in the middle a hug now that they're sad at the kid's home?,assets/home_school/generated/audio/hs_v2_025_home_teacher_hug_question.mp3,NOT_RECORDED,,,
12,hs_v2_026,HOME,TEACHER,FOOD,event,"Oh no! At the kid's home, the teacher in the middle is hungry now!",assets/home_school/generated/audio/hs_v2_026_home_teacher_food_event.mp3,NOT_RECORDED,,,
13,hs_v2_027,HOME,TEACHER,FOOD,question,Who will give the teacher in the middle strawberries now that they're hungry at the kid's home?,assets/home_school/generated/audio/hs_v2_027_home_teacher_food_question.mp3,NOT_RECORDED,,,
14,hs_v2_028,HOME,TEACHER,HELP,event,"Oh no! At the kid's home, the teacher in the middle dropped a heavy box!",assets/home_school/generated/audio/hs_v2_028_home_teacher_help_event.mp3,NOT_RECORDED,,,
15,hs_v2_029,HOME,TEACHER,HELP,question,Who will help the teacher in the middle pick up the heavy box at the kid's home?,assets/home_school/generated/audio/hs_v2_029_home_teacher_help_question.mp3,NOT_RECORDED,,,
